Model Number,CEC Listing Date,year
CS3N-415MS,22.02.2021,2021
CS3W-415MB-AG,23.11.2020,2020
CS3W-415P,01.11.2019,2019
CS3W-415PB-AG,17.06.2019,2019
CS3N-420MS,22.02.2021,2021
CS3W-420MB-AG,23.11.2020,2020
CS3W-420P,01.11.2019,2019
CS3W-420PB-AG,17.06.2019,2019
CS3N-425MS,22.02.2021,2021
CS3W-425MB-AG,23.11.2020,2020
CS3W-425P,01.11.2019,2019
CS3W-425PB-AG,01.11.2019,2019
CS3N-430MS,01.07.2021,2021
CS3W-430MB-AG,23.11.2020,2020
CS3W-430MS,23.11.2020,2020
CS3W-430P,01.11.2019,2019
CS3W-430PB-AG,01.11.2019,2019
CS3W-435MB-AG,23.11.2020,2020
CS3W-435MS,23.11.2020,2020
CS3W-435P,01.11.2019,2019
CS3W-435PB-AG,01.11.2019,2019
CS3Y-435PB-AG,21.01.2021,2021
CS3W-440MB-AG,23.11.2020,2020
CS3W-440MS,23.11.2020,2020
CS3W-440P,11.09.2020,2020
CS3W-440PB-AG,11.12.2020,2020
CS3Y-440P,01.12.2020,2020
CS3Y-440PB-AG,21.01.2021,2021
CS3W-445MB-AG,23.11.2020,2020
CS3W-445MS,23.11.2020,2020
CS3W-445P,11.09.2020,2020
CS3W-445PB-AG,12.11.2020,2020
CS3Y-445P,01.12.2020,2020
CS3Y-445PB-AG,21.01.2021,2021
CS3W-450MB-AG,23.11.2020,2020
CS3W-450MS,23.11.2020,2020
CS3W-450P,11.09.2020,2020
CS3Y-450P,01.12.2020,2020
CS3Y-450PB-AG,21.01.2021,2021
CS3W-455MB-AG,12.07.2021,2021
